number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
1.0,14.0,713.0,16500.0,0.0,4.0,Maharashtra,1.0
0.0,5.0,743.0,32000.0,0.0,5.0,Karnataka,0.0
45.0,18.0,714.0,26700.0,1.0,5.0,Uttar Pradesh,1.0
0.0,,,15500.0,0.0,1.0,Telangana,0.0
9.0,,,,0.0,2.0,Telangana,1.0
0.0,3.0,711.0,18605.0,0.0,1.0,Karnataka,0.0
0.0,1.0,729.0,,0.0,1.0,Maharashtra,0.0
0.0,,,15200.0,0.0,3.0,Karnataka,1.0
2.0,,,15000.0,0.0,1.0,Karnataka,1.0
54.0,20.0,712.0,40000.0,0.0,3.0,Telangana,1.0
1.0,22.0,710.0,30000.0,0.0,2.0,दिल्ली,0.0
,10.0,725.0,26700.0,0.0,,Maharashtra,0.0
0.0,6.0,589.0,21750.0,0.0,5.0,Karnataka,0.0
2.0,,,13755.0,0.0,1.0,Karnataka,0.0
67.0,9.0,730.0,45000.0,0.0,1.0,Karnataka,1.0
2.0,,,,0.0,2.0,Karnataka,0.0
12.0,15.0,687.0,,0.0,4.0,Andhra Pradesh,0.0
3.0,,690.0,22300.0,0.0,2.0,Tamil Nadu,1.0
0.0,9.0,662.0,15000.0,0.0,1.0,Tamil Nadu,0.0
10.0,12.0,757.0,42200.0,0.0,1.0,Maharashtra,0.0
7.0,7.0,713.0,12500.0,0.0,2.0,Tamil Nadu,0.0
4.0,10.0,694.0,18500.0,1.0,2.0,Karnataka,1.0
9.0,23.0,734.0,24500.0,0.0,3.0,Tamil Nadu,0.0
54.0,11.0,730.0,79000.0,1.0,4.0,Haryana,1.0
0.0,,,25000.0,1.0,1.0,Maharashtra,0.0
0.0,,711.0,21700.0,0.0,1.0,Haryana,0.0
76.0,,705.0,33340.0,1.0,10.0,Karnataka,0.0
18.0,27.0,678.0,20000.0,0.0,7.0,Andhra Pradesh,1.0
0.0,4.0,746.0,27500.0,0.0,1.0,Tamil Nadu,0.0
7.0,,,,0.0,2.0,Telangana,0.0
4.0,17.0,713.0,22500.0,0.0,3.0,Karnataka,0.0
0.0,,605.0,39800.0,0.0,3.0,Maharashtra,0.0
0.0,6.0,767.0,16800.0,0.0,2.0,Delhi,0.0
