number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
0.0,,,40000.0,0.0,3.0,Maharashtra,1.0
,27.0,760.0,,0.0,,Delhi,1.0
42.0,,2.0,26000.0,1.0,3.0,Telangana,1.0
0.0,18.0,681.0,80000.0,0.0,6.0,Maharashtra,0.0
1.0,17.0,746.0,16400.0,0.0,4.0,,0.0
8.0,,,25000.0,0.0,1.0,Karnataka,0.0
10.0,20.0,664.0,22473.0,0.0,1.0,Karnataka,0.0
3.0,19.0,729.0,15000.0,0.0,1.0,Telangana,1.0
24.0,11.0,730.0,16000.0,0.0,2.0,Karnataka,1.0
0.0,,,,1.0,9.0,Maharashtra,1.0
3.0,15.0,699.0,30000.0,1.0,4.0,Delhi,1.0
0.0,2.0,739.0,10071.43,0.0,1.0,Tamil Nadu,0.0
0.0,,760.0,,0.0,5.0,Tamil Nadu,0.0
1.0,,,27000.0,0.0,2.0,Maharashtra,1.0
5.0,6.0,695.0,25000.0,1.0,4.0,Tamil Nadu,0.0
4.0,,,27500.0,0.0,2.0,Delhi,1.0
0.0,8.0,708.0,15000.0,0.0,2.0,Karnataka,0.0
1.0,24.0,733.0,22208.0,0.0,0.0,Haryana,0.0
0.0,7.0,694.0,18000.0,0.0,2.0,Karnataka,1.0
4.0,9.0,735.0,15000.0,1.0,1.0,Tamil Nadu,1.0
6.0,8.0,752.0,38000.0,0.0,3.0,Karnataka,1.0
4.0,15.0,727.0,16000.0,1.0,1.0,Telangana,1.0
12.0,14.0,714.0,14000.0,0.0,2.0,Telangana,0.0
3.0,,,20000.0,0.0,1.0,Maharashtra,1.0
26.0,,812.0,,0.0,0.0,Tamil Nadu,0.0
2.0,27.0,731.0,,0.0,7.0,Telangana,1.0
0.0,,,17855.0,1.0,0.0,Karnataka,0.0
0.0,9.0,746.0,20000.0,0.0,2.0,Karnataka,0.0
0.0,15.0,784.0,15000.0,0.0,2.0,Karnataka,0.0
0.0,,,18000.0,0.0,6.0,Karnataka,0.0
0.0,10.0,734.0,22000.0,0.0,2.0,Maharashtra,0.0
6.0,1.0,747.0,28000.0,0.0,1.0,Karnataka,0.0
12.0,16.0,694.0,29900.0,0.0,3.0,Karnataka,1.0
4.0,12.0,734.0,22000.0,0.0,1.0,Tamil Nadu,0.0
0.0,3.0,748.0,15200.0,0.0,1.0,Karnataka,0.0
1.0,10.0,761.0,16000.0,0.0,2.0,Karnataka,0.0
0.0,2.0,711.0,15000.0,0.0,0.0,Uttaranchal,0.0
0.0,11.0,686.0,10962.0,0.0,1.0,Gujarat,1.0
1.0,5.0,720.0,,0.0,2.0,Tamil Nadu,0.0
0.0,9.0,715.0,10000.0,0.0,1.0,Andhra Pradesh,1.0
0.0,,,30000.0,1.0,9.0,Karnataka,1.0
0.0,18.0,681.0,40000.0,0.0,1.0,Karnataka,0.0
5.0,,,30000.0,0.0,1.0,Delhi,0.0
0.0,,,23200.0,0.0,2.0,Gujarat,0.0
0.0,7.0,763.0,,0.0,1.0,Uttaranchal,0.0
0.0,11.0,752.0,18500.0,1.0,2.0,Maharashtra,0.0
3.0,29.0,675.0,21000.0,0.0,3.0,Tamil Nadu,0.0
0.0,,,20000.0,0.0,2.0,Kerala,0.0
,9.0,728.0,,0.0,,Karnataka,1.0
0.0,14.0,789.0,15999.0,0.0,3.0,Kerala,0.0
1.0,,,35000.0,0.0,1.0,Karnataka,0.0
0.0,,714.0,21000.0,0.0,0.0,Maharashtra,0.0
0.0,3.0,705.0,40000.0,0.0,1.0,Kerala,0.0
14.0,24.0,671.0,20000.0,1.0,2.0,Karnataka,1.0
1.0,,714.0,13000.0,0.0,0.0,Rajasthan,1.0
4.0,,,16500.0,0.0,1.0,Karnataka,0.0
0.0,1.0,706.0,20000.0,0.0,0.0,Kerala,0.0
1.0,2.0,686.0,10000.0,0.0,1.0,Karnataka,0.0
34.0,11.0,686.0,28000.0,0.0,3.0,Maharashtra,0.0
0.0,,722.0,36200.0,0.0,4.0,Maharashtra,0.0
2.0,17.0,715.0,,0.0,3.0,Karnataka,0.0
0.0,9.0,744.0,,0.0,6.0,Kerala,0.0
0.0,17.0,762.0,33000.0,0.0,1.0,Maharashtra,1.0
0.0,20.0,757.0,21000.0,0.0,6.0,Madhya Pradesh,0.0
1.0,38.0,709.0,25000.0,0.0,6.0,Telangana,1.0
0.0,,,20120.0,0.0,1.0,Karnataka,0.0
3.0,,746.0,32000.0,0.0,,Karnataka,1.0
161.0,,,32000.0,0.0,1.0,Tamil Nadu,1.0
0.0,,720.0,15400.0,0.0,1.0,Karnataka,1.0
10.0,23.0,715.0,23000.0,0.0,3.0,Karnataka,1.0
48.0,9.0,738.0,63000.0,1.0,1.0,Karnataka,1.0
0.0,10.0,731.0,,1.0,5.0,Kerala,0.0
0.0,,,13000.0,0.0,1.0,Karnataka,0.0
0.0,26.0,703.0,12300.0,0.0,1.0,Maharashtra,0.0
2.0,,,25000.0,0.0,2.0,Bihar,0.0
5.0,8.0,718.0,26300.0,0.0,2.0,Gujarat,1.0
2.0,,766.0,,0.0,3.0,Telangana,1.0
56.0,3.0,729.0,,0.0,3.0,Haryana,1.0
0.0,23.0,694.0,27000.0,0.0,3.0,Karnataka,0.0
6.0,,,47000.0,0.0,5.0,Karnataka,1.0
1.0,6.0,757.0,20000.0,0.0,6.0,Telangana,0.0
2.0,11.0,684.0,24050.0,0.0,2.0,Telangana,1.0
9.0,30.0,697.0,35000.0,0.0,3.0,Tamil Nadu,0.0
0.0,8.0,708.0,16500.0,0.0,2.0,Telangana,0.0
0.0,,1.0,22661.0,0.0,3.0,Telangana,0.0
0.0,19.0,702.0,41000.0,1.0,2.0,Telangana,0.0
0.0,7.0,734.0,13000.0,0.0,1.0,Telangana,0.0
1.0,,,17200.0,0.0,2.0,Maharashtra,1.0
1.0,8.0,715.0,10000.0,1.0,5.0,Delhi,0.0
3.0,5.0,723.0,,0.0,2.0,Madhya Pradesh,0.0
0.0,9.0,776.0,18000.0,0.0,2.0,Karnataka,0.0
1.0,8.0,735.0,12500.0,0.0,0.0,Tamil Nadu,0.0
0.0,,,20000.0,0.0,2.0,Tamil Nadu,1.0
0.0,10.0,764.0,27000.0,0.0,1.0,Gujarat,0.0
0.0,22.0,764.0,75000.0,1.0,4.0,Telangana,0.0
0.0,24.0,755.0,57500.0,1.0,1.0,Maharashtra,0.0
18.0,38.0,709.0,20000.0,1.0,3.0,Maharashtra,0.0
1.0,,,21100.0,0.0,3.0,Delhi,1.0
3.0,16.0,764.0,17693.0,0.0,4.0,Tamil Nadu,0.0
0.0,3.0,701.0,24860.0,0.0,1.0,Karnataka,0.0
3.0,,702.0,,0.0,,Maharashtra,0.0
0.0,,678.0,19900.0,0.0,2.0,Delhi,1.0
3.0,16.0,751.0,48000.0,1.0,4.0,Karnataka,0.0
0.0,,,10000.0,1.0,1.0,Maharashtra,1.0
1.0,8.0,675.0,14813.0,0.0,1.0,Maharashtra,0.0
29.0,17.0,746.0,10000.0,0.0,3.0,Delhi,1.0
0.0,16.0,709.0,25000.0,1.0,3.0,Gujarat,0.0
1.0,18.0,731.0,24000.0,1.0,2.0,Maharashtra,0.0
0.0,9.0,694.0,20000.0,0.0,2.0,Karnataka,1.0
0.0,11.0,722.0,22700.0,0.0,2.0,Andhra Pradesh,0.0
0.0,8.0,744.0,13100.0,0.0,1.0,Telangana,0.0
0.0,,,15000.0,1.0,1.0,Delhi,0.0
1.0,2.0,745.0,,0.0,4.0,Telangana,0.0
,,711.0,30000.0,1.0,5.0,Maharashtra,0.0
33.0,24.0,755.0,,0.0,3.0,Gujarat,0.0
0.0,,,22483.0,0.0,0.0,Tamil Nadu,0.0
2.0,17.0,730.0,,0.0,3.0,Karnataka,0.0
0.0,9.0,742.0,15000.0,0.0,3.0,Telangana,0.0
5.0,,733.0,18000.0,0.0,0.0,Karnataka,0.0
0.0,,758.0,21000.0,1.0,1.0,Karnataka,0.0
0.0,4.0,715.0,20200.0,0.0,1.0,Karnataka,0.0
16.0,24.0,683.0,,0.0,3.0,Karnataka,0.0
5.0,29.0,703.0,,0.0,0.0,Uttar Pradesh,0.0
7.0,6.0,726.0,19600.0,0.0,1.0,Telangana,0.0
42.0,18.0,771.0,25000.0,1.0,3.0,Karnataka,1.0
0.0,7.0,729.0,30000.0,0.0,1.0,Delhi,1.0
7.0,14.0,626.0,20000.0,0.0,1.0,Gujarat,1.0
2.0,17.0,713.0,20000.0,0.0,2.0,Maharashtra,1.0
0.0,,,27000.0,0.0,2.0,Rajasthan,0.0
0.0,,,24000.0,0.0,1.0,Tamil Nadu,0.0
9.0,,700.0,17750.0,0.0,3.0,Uttar Pradesh,1.0
0.0,,,24000.0,0.0,1.0,Tamil Nadu,0.0
8.0,19.0,746.0,,1.0,3.0,Telangana,0.0
0.0,10.0,668.0,8000.0,0.0,1.0,Telangana,0.0
0.0,12.0,745.0,20000.0,0.0,1.0,Telangana,0.0
8.0,,,,0.0,4.0,Maharashtra,1.0
2.0,23.0,743.0,20000.0,0.0,1.0,Telangana,1.0
0.0,,497.0,19000.0,0.0,2.0,Gujarat,0.0
0.0,,,16000.0,0.0,2.0,Haryana,1.0
,20.0,711.0,14985.0,0.0,,Karnataka,0.0
5.0,,766.0,17001.0,0.0,3.0,Chandigarh,0.0
70.0,21.0,668.0,140000.0,1.0,1.0,Karnataka,1.0
6.0,19.0,774.0,85326.0,1.0,2.0,Maharashtra,0.0
10.0,,,,1.0,7.0,Gujarat,0.0
62.0,19.0,694.0,55000.0,0.0,0.0,Maharashtra,1.0
4.0,,,12000.0,0.0,3.0,Karnataka,0.0
11.0,19.0,746.0,,0.0,1.0,Telangana,1.0
3.0,,,22000.0,0.0,1.0,Karnataka,1.0
0.0,21.0,743.0,20900.0,0.0,3.0,Madhya Pradesh,0.0
9.0,11.0,671.0,15000.0,0.0,3.0,Karnataka,0.0
0.0,,,15711.0,0.0,3.0,Karnataka,1.0
0.0,22.0,693.0,17800.0,0.0,1.0,Telangana,0.0
0.0,29.0,736.0,45000.0,1.0,8.0,Maharashtra,1.0
16.0,3.0,752.0,35000.0,0.0,1.0,Tamil Nadu,0.0
3.0,8.0,723.0,23000.0,0.0,4.0,Telangana,0.0
4.0,15.0,709.0,33000.0,0.0,3.0,Telangana,1.0
,,,28000.0,0.0,,Delhi,0.0
1.0,5.0,752.0,15000.0,1.0,2.0,Karnataka,0.0
2.0,5.0,682.0,16000.0,1.0,0.0,Haryana,0.0
1.0,,768.0,28400.0,0.0,1.0,Delhi,0.0
2.0,10.0,704.0,18000.0,0.0,1.0,Delhi,0.0
19.0,19.0,726.0,17500.0,1.0,1.0,Karnataka,1.0
0.0,17.0,751.0,23221.0,0.0,1.0,Maharashtra,1.0
4.0,17.0,715.0,22000.0,0.0,2.0,Karnataka,1.0
5.0,15.0,689.0,18644.0,0.0,2.0,Karnataka,0.0
1.0,5.0,676.0,12000.0,0.0,1.0,Karnataka,0.0
5.0,23.0,699.0,24660.0,0.0,3.0,Karnataka,0.0
,11.0,743.0,,0.0,,Karnataka,0.0
20.0,18.0,746.0,,0.0,1.0,Gujarat,0.0
1.0,,,19000.0,0.0,2.0,Karnataka,0.0
12.0,9.0,654.0,22000.0,0.0,2.0,Karnataka,0.0
